Date,Package Name,App Version Code,Current Device Installs,Daily Device Installs,Daily Device Uninstalls,Daily Device Upgrades,Current User Installs,Total User Installs,Daily User Installs,Daily User Uninstalls
2015-04-18,com.bunkman.prithvi.binaryadderandsubtractor_working,1,32,36,4,0,32,36,36,4
2015-04-19,com.bunkman.prithvi.binaryadderandsubtractor_working,1,21,1,3,0,21,27,0,3
2015-04-19,com.bunkman.prithvi.binaryadderandsubtractor_working,2,7,3,1,5,7,8,3,1
2015-04-19,com.bunkman.prithvi.binaryadderandsubtractor_working,3,6,2,0,4,6,6,2,0
2015-04-20,com.bunkman.prithvi.binaryadderandsubtractor_working,1,16,0,1,0,16,23,0,1
2015-04-20,com.bunkman.prithvi.binaryadderandsubtractor_working,2,4,0,0,0,4,5,0,0
2015-04-20,com.bunkman.prithvi.binaryadderandsubtractor_working,3,16,5,2,7,16,18,5,2
2015-04-21,com.bunkman.prithvi.binaryadderandsubtractor_working,1,13,0,1,0,13,21,0,1
2015-04-21,com.bunkman.prithvi.binaryadderandsubtractor_working,2,2,0,1,0,2,4,0,1
2015-04-21,com.bunkman.prithvi.binaryadderandsubtractor_working,3,19,1,1,3,19,22,1,1
2015-04-22,com.bunkman.prithvi.binaryadderandsubtractor_working,1,12,0,0,0,12,19,0,0
2015-04-22,com.bunkman.prithvi.binaryadderandsubtractor_working,2,2,0,0,0,2,4,0,0
2015-04-22,com.bunkman.prithvi.binaryadderandsubtractor_working,3,21,1,0,1,21,24,0,0
2015-04-23,com.bunkman.prithvi.binaryadderandsubtractor_working,1,10,0,0,0,10,17,0,0
2015-04-23,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-23,com.bunkman.prithvi.binaryadderandsubtractor_working,3,24,0,0,3,24,27,0,0
2015-04-24,com.bunkman.prithvi.binaryadderandsubtractor_working,1,9,0,0,0,9,16,0,0
2015-04-24,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-24,com.bunkman.prithvi.binaryadderandsubtractor_working,3,27,2,0,1,27,30,2,0
2015-04-25,com.bunkman.prithvi.binaryadderandsubtractor_working,1,9,0,0,0,9,16,0,0
2015-04-25,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-25,com.bunkman.prithvi.binaryadderandsubtractor_working,3,26,2,3,0,26,32,2,3
2015-04-26,com.bunkman.prithvi.binaryadderandsubtractor_working,1,9,0,0,0,9,16,0,0
2015-04-26,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-26,com.bunkman.prithvi.binaryadderandsubtractor_working,3,25,0,1,0,25,32,0,1
2015-04-27,com.bunkman.prithvi.binaryadderandsubtractor_working,1,8,0,0,0,8,15,0,0
2015-04-27,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-27,com.bunkman.prithvi.binaryadderandsubtractor_working,3,26,1,1,1,26,34,1,1
2015-04-28,com.bunkman.prithvi.binaryadderandsubtractor_working,1,8,0,0,0,8,15,0,0
2015-04-28,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-28,com.bunkman.prithvi.binaryadderandsubtractor_working,3,26,0,0,0,26,34,0,0
2015-04-29,com.bunkman.prithvi.binaryadderandsubtractor_working,1,8,0,0,0,8,15,0,0
2015-04-29,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-29,com.bunkman.prithvi.binaryadderandsubtractor_working,3,26,0,0,0,26,34,0,0
2015-04-30,com.bunkman.prithvi.binaryadderandsubtractor_working,1,7,0,0,0,7,14,0,0
2015-04-30,com.bunkman.prithvi.binaryadderandsubtractor_working,2,1,0,0,0,1,3,0,0
2015-04-30,com.bunkman.prithvi.binaryadderandsubtractor_working,3,26,0,1,1,26,35,0,1
